date;real_gdp;cpi;unemployment_rate;house_prices_index;fixed_mortgage_rates;interbank_rate;euro_interbank_rate;eupi
01/01/75;180405,0;14,04;2,20;20,76;;;;
01/04/75;177442,3;15,37;2,67;21,38;;;;
01/07/75;176835,5;16,05;3,10;21,84;;;;
01/10/75;178863,1;16,60;3,50;22,55;;;;
01/01/76;181693,7;17,20;3,77;23,03;;;;
01/04/76;181393,5;17,83;3,90;23,40;;;;
01/07/76;183664,4;18,24;4,00;23,86;;;;
01/10/76;187560,4;19,08;4,00;24,39;;;;
01/01/77;187613,7;20,04;4,00;24,82;;;;
01/04/77;186310,5;20,93;4,07;25,30;;;;
01/07/77;187608,3;21,26;4,23;25,78;;;;
01/10/77;190827,0;21,57;4,30;26,27;;;;
01/01/78;192529,0;21,94;4,13;27,66;;;;
01/04/78;194771,8;22,54;4,10;28,88;;;;
01/07/78;197449,6;22,93;4,10;31,62;;;;
01/10/78;199240,3;23,32;3,93;33,62;;;;
01/01/79;198533,1;24,04;3,90;35,61;;;;
01/04/79;207302,7;24,92;3,80;38,00;;;;
01/07/79;202701,3;26,59;3,70;40,70;;;;
01/10/79;204845,6;27,34;3,70;43,92;;;;
01/01/80;202901,2;28,63;3,87;45,40;;;;
01/04/80;198842,4;30,29;4,30;46,46;;;;
01/07/80;198646,1;30,94;5,00;46,96;;;;
01/10/80;196470,2;31,52;5,97;47,02;;;;
01/01/81;196223,3;32,27;6,77;47,51;;;;
01/04/81;196624,9;33,84;7,50;47,90;;;;
01/07/81;198742,9;34,42;7,97;48,11;;;;
01/10/81;198991,6;35,27;8,33;47,63;;;;
01/01/82;199378,6;35,86;8,60;48,41;;;;
01/04/82;201503,9;37,00;8,80;49,02;;;;
01/07/82;202025,7;37,17;9,10;49,68;;;;
01/10/82;203445,6;37,44;9,40;51,20;;;;
01/01/83;207170,7;37,64;9,63;52,69;;;;
01/04/83;208942,3;38,40;9,83;54,37;;;;
01/07/83;211229,5;38,90;9,93;56,08;;;;
01/10/83;213054,5;39,33;10,03;57,24;;;;
01/01/84;214529,5;39,58;9,90;59,50;;;;
01/04/84;212651,1;40,38;9,97;61,21;;;;
01/07/84;214026,7;40,73;10,13;62,18;;;;
01/10/84;218259,1;41,24;10,27;65,01;;;;
01/01/85;220048,9;41,75;10,20;66,69;;;;
01/04/85;224709,1;43,19;10,30;67,85;;;;
01/07/85;224905,3;43,30;10,30;68,96;;;;
01/10/85;225448,8;43,51;10,33;70,72;;;;
01/01/86;228005,5;43,81;10,47;71,76;;12,45;;
01/04/86;229697,6;44,39;10,57;73,49;;10,22;;
01/07/86;230743,0;44,43;10,57;75,90;;10,04;;
01/10/86;234865,1;45,01;10,37;78,99;;11,27;;
01/01/87;237048,3;45,55;10,07;82,47;;10,67;;
01/04/87;240525,6;46,25;9,70;85,32;;9,21;;
01/07/87;246369,6;46,36;9,23;88,01;;9,85;;
01/10/87;249159,6;46,85;8,73;88,55;;9,00;;
01/01/88;253600,0;47,00;8,23;91,08;;9,03;;
01/04/88;255094,9;48,00;7,77;97,04;;8,47;;
01/07/88;258980,1;48,50;7,30;107,51;;11,40;;
01/10/88;261210,3;49,20;6,90;114,44;;12,51;;
01/01/89;262361,5;49,80;6,43;120,35;;13,10;;
01/04/89;264088,9;50,80;6,00;123,32;;13,53;;
01/07/89;264352,0;51,20;5,70;124,03;;13,98;;
01/10/89;264603,4;52,10;5,50;123,20;;15,12;;
01/01/90;266386,8;52,80;5,30;120,45;;15,22;;
01/04/90;267755,2;54,90;5,23;116,71;;15,15;;
01/07/90;264959,8;55,70;5,43;113,06;;14,98;;
01/10/90;264048,2;56,80;5,90;110,20;;13,87;;
01/01/91;263277,6;57,20;6,63;110,20;;13,26;;
01/04/91;262945,7;59,10;7,40;109,58;;11,63;;
01/07/91;262371,5;59,80;8,00;108,45;;10,80;;
01/10/91;262827,3;60,50;8,40;107,74;;10,61;;
01/01/92;262846,3;60,80;8,77;105,34;;10,60;;
01/04/92;262536,1;62,10;9,07;104,10;;10,27;;
01/07/92;264208,2;62,10;9,30;103,29;;10,22;;
01/10/92;266048,6;62,50;9,73;100,75;;7,63;;
01/01/93;267973,1;62,70;9,90;101,11;;6,42;;
01/04/93;269301,6;63,50;9,83;102,69;;6,01;;
01/07/93;271423,3;63,70;9,70;102,39;;5,96;;
01/10/93;273224,8;63,90;9,50;102,41;;5,60;;
01/01/94;276437,1;64,20;9,30;103,48;;5,31;6,84;
01/04/94;279663,0;65,00;9,00;101,66;;5,23;6,37;
01/07/94;282859,0;65,00;8,70;102,47;;5,54;6,38;
01/10/94;284574,6;65,30;8,37;104,39;;6,18;6,51;
01/01/95;284908,8;65,70;7,87;102,93;;6,72;6,94;
01/04/95;285982,3;66,70;7,67;102,32;;6,74;7,14;
01/07/95;288712,8;66,90;7,50;101,74;;6,85;6,69;
01/10/95;289250,3;67,20;7,43;101,90;;6,70;6,51;
01/01/96;290923,9;67,70;7,50;103,46;;6,28;5,63;
01/04/96;291933,9;68,50;7,37;105,17;;6,05;5,14;
01/07/96;295311,4;68,70;7,10;107,07;;5,84;5,00;
01/10/96;299309,0;69,20;6,60;110,36;;6,28;4,59;
01/01/97;305004,5;69,30;5,83;112,35;;6,34;4,44;71,06
01/04/97;307689,0;70,00;5,37;115,86;;6,55;4,33;71,40
01/07/97;309854,9;70,20;5,10;120,41;;7,19;4,32;53,81
01/10/97;313513,8;70,60;4,77;123,78;;7,57;4,43;69,60
01/01/98;316365,0;70,60;4,60;126,57;;7,57;4,20;75,61
01/04/98;319304,0;71,40;4,50;129,39;;7,58;4,06;71,84
01/07/98;321564,6;71,40;4,47;131,45;;7,67;3,94;93,12
01/10/98;324659,0;71,80;4,40;132,91;;6,89;3,62;105,57
01/01/99;326569,6;72,00;4,30;135,72;;5,63;3,09;67,14
01/04/99;327139,4;72,70;4,20;138,88;;5,30;2,63;56,48
01/07/99;332754,9;72,60;4,03;143,24;;5,28;2,70;49,42
01/10/99;337668,8;72,90;3,87;149,70;;5,98;3,43;43,12
01/01/00;340388,0;72,80;3,77;156,28;;6,20;3,54;37,29
